Date,Link,Message
1847-07-18 20:25:00 UTC,https://www.linkedin.com/posts/fake-persona-740_activity-7000000000000010-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A10),Worth flagging: this only holds when the mill doesn't overflow.
1844-12-05 07:36:00 UTC,https://www.linkedin.com/posts/fake-persona-55_activity-7000000000000011-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A11),Agreed. The carry-forward pattern here saves a full pass.
1851-09-09 02:47:00 UTC,https://www.linkedin.com/posts/fake-persona-731_activity-7000000000000012-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A12),Seeing similar results on our end. Happy to compare notes.
1845-06-13 19:34:00 UTC,https://www.linkedin.com/posts/fake-persona-873_activity-7000000000000013-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A13),Fair point on the notation — I'll revise mine.
1846-02-16 06:20:00 UTC,https://www.linkedin.com/posts/fake-persona-204_activity-7000000000000014-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A14),Worth flagging: this only holds when the mill doesn't overflow.
1841-12-26 16:05:00 UTC,https://www.linkedin.com/posts/fake-persona-903_activity-7000000000000015-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A15),Worth flagging: this only holds when the mill doesn't overflow.
1848-07-14 10:41:00 UTC,https://www.linkedin.com/posts/fake-persona-493_activity-7000000000000016-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A16),Thanks for the careful response. Useful.
1840-03-07 12:52:00 UTC,https://www.linkedin.com/posts/fake-persona-516_activity-7000000000000017-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A17),"Reasonable. Different context, same conclusion."
1846-03-11 03:37:00 UTC,https://www.linkedin.com/posts/fake-persona-885_activity-7000000000000018-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A18),Could we adapt this approach for nested sequences?
1841-05-12 08:12:00 UTC,https://www.linkedin.com/posts/fake-persona-358_activity-7000000000000019-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A19),Could we adapt this approach for nested sequences?
1850-11-01 23:24:00 UTC,https://www.linkedin.com/posts/fake-persona-714_activity-7000000000000020-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A20),Could we adapt this approach for nested sequences?
1847-11-05 02:28:00 UTC,https://www.linkedin.com/posts/fake-persona-457_activity-7000000000000021-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A21),"Reasonable. Different context, same conclusion."
1845-11-03 13:03:00 UTC,https://www.linkedin.com/posts/fake-persona-645_activity-7000000000000022-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A22),Agreed. The carry-forward pattern here saves a full pass.
1849-12-28 16:47:00 UTC,https://www.linkedin.com/posts/fake-persona-389_activity-7000000000000023-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A23),Fair point on the notation — I'll revise mine.
1845-06-20 17:31:00 UTC,https://www.linkedin.com/posts/fake-persona-247_activity-7000000000000024-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A24),Thanks for the careful response. Useful.
1851-08-19 13:35:00 UTC,https://www.linkedin.com/posts/fake-persona-186_activity-7000000000000025-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A25),Fair point on the notation — I'll revise mine.
1840-01-15 11:55:00 UTC,https://www.linkedin.com/posts/fake-persona-314_activity-7000000000000026-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A26),Fair point on the notation — I'll revise mine.
1845-11-04 06:31:00 UTC,https://www.linkedin.com/posts/fake-persona-997_activity-7000000000000027-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A27),Could we adapt this approach for nested sequences?
1843-07-11 12:14:00 UTC,https://www.linkedin.com/posts/fake-persona-501_activity-7000000000000028-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A28),Fair point on the notation — I'll revise mine.
1843-07-28 11:59:00 UTC,https://www.linkedin.com/posts/fake-persona-697_activity-7000000000000029-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A29),Agreed. The carry-forward pattern here saves a full pass.
1844-12-27 09:41:00 UTC,https://www.linkedin.com/posts/fake-persona-68_activity-7000000000000030-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A30),Seeing similar results on our end. Happy to compare notes.
1843-06-20 23:35:00 UTC,https://www.linkedin.com/posts/fake-persona-574_activity-7000000000000031-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A31),Agreed. The carry-forward pattern here saves a full pass.
1851-11-03 22:40:00 UTC,https://www.linkedin.com/posts/fake-persona-953_activity-7000000000000032-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A32),Could we adapt this approach for nested sequences?
1846-09-11 13:38:00 UTC,https://www.linkedin.com/posts/fake-persona-527_activity-7000000000000033-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A33),"Reasonable. Different context, same conclusion."
1850-12-13 16:08:00 UTC,https://www.linkedin.com/posts/fake-persona-278_activity-7000000000000034-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A34),"Reasonable. Different context, same conclusion."
1840-04-12 09:41:00 UTC,https://www.linkedin.com/posts/fake-persona-953_activity-7000000000000035-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A35),Agreed. The carry-forward pattern here saves a full pass.
1846-02-17 02:53:00 UTC,https://www.linkedin.com/posts/fake-persona-572_activity-7000000000000036-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A36),Agreed. The carry-forward pattern here saves a full pass.
1846-01-11 01:47:00 UTC,https://www.linkedin.com/posts/fake-persona-673_activity-7000000000000037-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A37),Could we adapt this approach for nested sequences?
1851-03-07 05:13:00 UTC,https://www.linkedin.com/posts/fake-persona-127_activity-7000000000000038-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A38),Worth flagging: this only holds when the mill doesn't overflow.
1849-09-08 20:31:00 UTC,https://www.linkedin.com/posts/fake-persona-499_activity-7000000000000039-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A39),Could we adapt this approach for nested sequences?
1846-11-06 18:08:00 UTC,https://www.linkedin.com/posts/fake-persona-859_activity-7000000000000040-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A40),Worth flagging: this only holds when the mill doesn't overflow.
1840-01-25 03:33:00 UTC,https://www.linkedin.com/posts/fake-persona-169_activity-7000000000000041-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A41),Seeing similar results on our end. Happy to compare notes.
1844-01-28 20:39:00 UTC,https://www.linkedin.com/posts/fake-persona-525_activity-7000000000000042-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A42),Agreed. The carry-forward pattern here saves a full pass.
1847-10-11 07:20:00 UTC,https://www.linkedin.com/posts/fake-persona-964_activity-7000000000000043-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A43),"Reasonable. Different context, same conclusion."
1847-06-15 21:30:00 UTC,https://www.linkedin.com/posts/fake-persona-369_activity-7000000000000044-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A44),Thanks for the careful response. Useful.
1841-01-05 13:46:00 UTC,https://www.linkedin.com/posts/fake-persona-987_activity-7000000000000045-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A45),Agreed. The carry-forward pattern here saves a full pass.
1843-02-07 19:42:00 UTC,https://www.linkedin.com/posts/fake-persona-282_activity-7000000000000046-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A46),"Reasonable. Different context, same conclusion."
1844-08-22 06:04:00 UTC,https://www.linkedin.com/posts/fake-persona-104_activity-7000000000000047-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A47),Thanks for the careful response. Useful.
1851-05-19 03:25:00 UTC,https://www.linkedin.com/posts/fake-persona-711_activity-7000000000000048-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A48),Could we adapt this approach for nested sequences?
1841-06-24 07:56:00 UTC,https://www.linkedin.com/posts/fake-persona-753_activity-7000000000000049-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A49),Could we adapt this approach for nested sequences?
1844-04-09 04:04:00 UTC,https://www.linkedin.com/posts/fake-persona-822_activity-7000000000000050-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A50),Worth flagging: this only holds when the mill doesn't overflow.
1850-06-26 04:59:00 UTC,https://www.linkedin.com/posts/fake-persona-812_activity-7000000000000051-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A51),Thanks for the careful response. Useful.
1843-09-03 08:22:00 UTC,https://www.linkedin.com/posts/fake-persona-225_activity-7000000000000052-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A52),Thanks for the careful response. Useful.
1843-02-20 15:56:00 UTC,https://www.linkedin.com/posts/fake-persona-150_activity-7000000000000053-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A53),Worth flagging: this only holds when the mill doesn't overflow.
1844-06-26 05:21:00 UTC,https://www.linkedin.com/posts/fake-persona-824_activity-7000000000000054-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A54),Agreed. The carry-forward pattern here saves a full pass.
1847-01-05 17:48:00 UTC,https://www.linkedin.com/posts/fake-persona-448_activity-7000000000000055-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A55),"Reasonable. Different context, same conclusion."
1840-08-13 02:30:00 UTC,https://www.linkedin.com/posts/fake-persona-729_activity-7000000000000056-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A56),Fair point on the notation — I'll revise mine.
1845-11-04 16:52:00 UTC,https://www.linkedin.com/posts/fake-persona-195_activity-7000000000000057-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A57),"Reasonable. Different context, same conclusion."
1848-04-23 02:05:00 UTC,https://www.linkedin.com/posts/fake-persona-798_activity-7000000000000058-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A58),Could we adapt this approach for nested sequences?
1843-12-03 05:01:00 UTC,https://www.linkedin.com/posts/fake-persona-720_activity-7000000000000059-AaAa/?commentUrn=urn%3Ali%3Acomment%3A(activity%3A59),Agreed. The carry-forward pattern here saves a full pass.
